X,Y,Unique Squirrel ID,Hectare,Shift,Date,Hectare Squirrel Number,Age,Primary Fur Color,Highlight Fur Color,Combination of Primary and Highlight Color,Color notes,Location,Above Ground Sighter Measurement,Specific Location,Running,Chasing,Climbing,Eating,Foraging,Other Activities,Kuks,Quaas,Moans,Tail flags,Tail twitches,Approaches,Indifferent,Runs from,Other Interactions,Lat/Long,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
-73.9561344938,40.7940823884,37F-PM-1014-03,37F,PM,2018-10-14,3,,,,+,,,,,True,True,True,True,True,,True,True,True,True,True,True,True,True,,POINT (-73.9561344937861 40.7940823884086),,19,4,19,13
-73.9570437718,40.7948509408,37E-PM-1006-03,37E,PM,2018-10-06,3,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,True,True,True,True,True,,True,True,True,True,True,True,True,True,me,POINT (-73.9570437717691 40.794850940803904),,19,4,19,13
-73.9768311751,40.7667178073,2E-AM-1010-03,02E,AM,2018-10-10,3,Adult,Cinnamon,,Cinnamon+,,Above Ground,4,,True,True,True,True,True,,True,True,True,True,True,True,True,True,,POINT (-73.9768311751004 40.76671780725581),,19,4,19,13
-73.9757249834,40.7697032607,5D-PM-1018-05,05D,PM,2018-10-18,5,Juvenile,Gray,,Gray+,,Above Ground,3,,True,True,True,True,True,,True,True,True,True,True,True,True,True,,POINT (-73.9757249834141 40.7697032606755),,19,4,19,13
-73.9593126696,40.7975333702,39B-AM-1018-01,39B,AM,2018-10-18,1,,,,+,,Above Ground,,,True,True,True,True,True,unknown,True,True,True,True,True,True,True,True,,POINT (-73.9593126695714 40.797533370163),,19,4,19,13
-73.9565700386,40.7902561001,33H-AM-1019-02,33H,AM,2018-10-19,2,Juvenile,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,True,True,True,True,True,wrestling with mother,True,True,True,True,True,True,True,True,,POINT (-73.9565700386162 40.7902561000937),,19,4,19,13
-73.9719735582,40.7693045134,6G-PM-1020-02,06G,PM,2018-10-20,2,Adult,Gray,,Gray+,,Ground Plane,FALSE,,True,True,True,True,True,,True,True,True,True,True,True,True,True,,POINT (-73.9719735582476 40.7693045133578),,19,4,19,13
-73.9602609921,40.7942883046,35C-PM-1013-03,35C,PM,2018-10-13,3,,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,True,True,True,True,True,,True,True,True,True,True,True,True,True,,POINT (-73.9602609920814 40.79428830455661),,19,4,19,13
-73.9770718587,40.7729752391,7B-AM-1008-09,07B,AM,2018-10-08,9,Adult,Gray,,Gray+,,Ground Plane,FALSE,,True,True,True,True,True,,True,True,True,True,True,True,True,True,,POINT (-73.9770718586754 40.7729752391435),,19,4,19,13
-73.9596413904,40.7903128889,32E-PM-1017-14,32E,PM,2018-10-17,14,Adult,Gray,,Gray+,Nothing selected as Primary. Gray selected as Highlights. Made executive adjustments.,,,,True,True,True,True,True,,True,True,True,True,True,True,True,True,,POINT (-73.9596413903948 40.7903128889029),,19,4,19,13
